1, '2016-12-23', 'AT&T Stadium', 'W', 99958, 9995800
2, '2016-9-19', 'LA Memorial Coliseum', 'L', 136248, 13624800
3, '2016-11-14', 'Metlife Stadium', 'W', 122890, 12289000
4, '2016-10-7', 'Heinz Field', 'W', 69529, 6952900
5, '2018-9-19', 'Lincoln Financial Field', 'L', 116249, 11624900
6, '2017-11-14', 'AT&T Stadium', 'L', 62497, 6249700
7, '2018-10-7', 'LA Memorial Coliseum', 'L', 111152, 11115200
8, '2017-8-9', 'Metlife Stadium', 'L', 53729, 5372900
9, '2017-8-15', 'Heinz Field', 'L', 120460, 12046000
10, '2018-11-8', 'Lincoln Financial Field', 'W', 116748, 11674800
11, '2017-10-15', 'AT&T Stadium', 'L', 108699, 10869900
12, '2017-12-3', 'LA Memorial Coliseum', 'W', 56403, 5640300
13, '2018-9-18', 'Metlife Stadium', 'W', 86159, 8615900
14, '2018-8-15', 'Heinz Field', 'L', 121692, 12169200
15, '2016-10-25', 'Lincoln Financial Field', 'L', 110049, 11004900
16, '2016-8-20', 'AT&T Stadium', 'L', 126335, 12633500
17, '2016-8-29', 'LA Memorial Coliseum', 'L', 66949, 6694900
18, '2016-10-29', 'Metlife Stadium', 'W', 135795, 13579500
19, '2018-12-10', 'Heinz Field', 'W', 111682, 11168200
20, '2018-9-10', 'Lincoln Financial Field', 'W', 124232, 12423200
21, '2018-10-1', 'AT&T Stadium', 'L', 78023, 7802300
22, '2018-9-10', 'LA Memorial Coliseum', 'W', 145425, 14542500
23, '2018-10-18', 'Metlife Stadium', 'W', 80690, 8069000
24, '2017-12-18', 'Heinz Field', 'W', 123168, 12316800
25, '2016-11-3', 'Lincoln Financial Field', 'W', 115100, 11510000
26, '2016-9-25', 'AT&T Stadium', 'W', 106552, 10655200
27, '2016-12-7', 'LA Memorial Coliseum', 'W', 52647, 5264700
28, '2017-9-1', 'Metlife Stadium', 'L', 68593, 6859300
29, '2017-10-3', 'Heinz Field', 'W', 89214, 8921400
30, '2017-10-21', 'Lincoln Financial Field', 'W', 109479, 10947900
31, '2018-12-10', 'AT&T Stadium', 'W', 56355, 5635500
32, '2018-8-4', 'LA Memorial Coliseum', 'L', 127888, 12788800
33, '2017-9-11', 'Metlife Stadium', 'W', 106856, 10685600
34, '2016-9-11', 'Heinz Field', 'L', 50237, 5023700
35, '2016-12-18', 'Lincoln Financial Field', 'W', 84945, 8494500
36, '2016-11-9', 'AT&T Stadium', 'L', 117637, 11763700
37, '2016-11-8', 'LA Memorial Coliseum', 'W', 122757, 12275700
38, '2017-9-10', 'Metlife Stadium', 'W', 83459, 8345900
39, '2018-11-6', 'Heinz Field', 'W', 83074, 8307400
40, '2018-10-2', 'Lincoln Financial Field', 'L', 110358, 11035800
41, '2017-12-8', 'AT&T Stadium', 'L', 125569, 12556900
42, '2017-10-5', 'LA Memorial Coliseum', 'L', 69847, 6984700
43, '2016-10-13', 'Metlife Stadium', 'W', 54292, 5429200
44, '2017-10-16', 'Heinz Field', 'L', 146157, 14615700
45, '2017-9-8', 'Lincoln Financial Field', 'L', 109231, 10923100
46, '2017-10-21', 'AT&T Stadium', 'W', 64030, 6403000
47, '2018-8-2', 'LA Memorial Coliseum', 'W', 103516, 10351600
48, '2017-9-10', 'Metlife Stadium', 'W', 135404, 13540400
49, '2018-8-19', 'Heinz Field', 'L', 63970, 6397000
50, '2016-10-10', 'Lincoln Financial Field', 'L', 142685, 14268500
51, '2018-12-7', 'AT&T Stadium', 'L', 129207, 12920700
52, '2017-10-5', 'LA Memorial Coliseum', 'L', 119911, 11991100
53, '2018-8-27', 'Metlife Stadium', 'W', 117818, 11781800
54, '2018-11-10', 'Heinz Field', 'W', 138711, 13871100
55, '2018-12-2', 'Lincoln Financial Field', 'L', 108955, 10895500
56, '2016-12-29', 'AT&T Stadium', 'L', 94918, 9491800
57, '2016-10-3', 'LA Memorial Coliseum', 'W', 76717, 7671700
58, '2018-11-15', 'Metlife Stadium', 'W', 136593, 13659300
